wavelength,WLED 1000 lux
300,0.00003315 
301,0.00002802 
302,0.00007219 
303,0.00012689 
304,0.00005061 
305,0.00012000 
306,0.00007862 
307,0.00006958 
308,0.00010195 
309,0.00009309 
310,0.00014816 
311,0.00010628 
312,0.00011521 
313,0.00007560 
314,0.00012630 
315,0.00007332 
316,0.00003069 
317,0.00007325 
318,0.00002679 
319,0.00013243 
320,0.00008920 
321,0.00008634 
322,0.00012845 
323,0.00004958 
324,0.00010360 
325,0.00009222 
326,0.00012241 
327,0.00008697 
328,0.00004651 
329,0.00011409 
330,0.00007115 
331,0.00008955 
332,0.00005636 
333,0.00005645 
334,0.00006049 
335,0.00012454 
336,0.00013033 
337,0.00011191 
338,0.00011426 
339,0.00010807 
340,0.00005093 
341,0.00007695 
342,0.00006777 
343,0.00010167 
344,0.00009636 
345,0.00011580 
346,0.00000994 
347,0.00002786 
348,0.00008420 
349,0.00000549 
350,0.00009239 
351,0.00011223 
352,0.00004550 
353,0.00008641 
354,0.00011936 
355,0.00008130 
356,0.00012200 
357,0.00011415 
358,0.00002739 
359,0.00015830 
360,0.00008801 
361,0.00007597 
362,0.00010457 
363,0.00005476 
364,0.00009488 
365,0.00007931 
366,0.00004245 
367,0.00012807 
368,0.00014101 
369,0.00010766 
370,0.00003624 
371,0.00011426 
372,0.00005486 
373,0.00012034 
374,0.00010646 
375,0.00010033 
376,0.00018992 
377,0.00007903 
378,0.00014316 
379,0.00013304 
380,0.00006181 
381,0.00012000 
382,0.00004043 
383,0.00010626 
384,0.00011541 
385,0.00014246 
386,0.00018866 
387,0.00008735 
388,0.00009981 
389,0.00020475 
390,0.00005476 
391,0.00012077 
392,0.00013342 
393,0.00009702 
394,0.00011854 
395,0.00016716 
396,0.00017107 
397,0.00001294 
398,0.00013449 
399,0.00012417 
400,0.00020708 
401,0.00018337 
402,0.00017027 
403,0.00022328 
404,0.00012583 
405,0.00020730 
406,0.00020111 
407,0.00021437 
408,0.00029135 
409,0.00022800 
410,0.00028439 
411,0.00026855 
412,0.00035768 
413,0.00042664 
414,0.00042785 
415,0.00044876 
416,0.00054682 
417,0.00060377 
418,0.00077065 
419,0.00081089 
420,0.00090191 
421,0.00107335 
422,0.00116933 
423,0.00140519 
424,0.00154921 
425,0.00166476 
426,0.00192058 
427,0.00217518 
428,0.00241826 
429,0.00276821 
430,0.00315849 
431,0.00347440 
432,0.00399168 
433,0.00441572 
434,0.00505753 
435,0.00533972 
436,0.00579970 
437,0.00670801 
438,0.00735692 
439,0.00814606 
440,0.00894981 
441,0.00958353 
442,0.01043411 
443,0.01150975 
444,0.01241572 
445,0.01327720 
446,0.01402697 
447,0.01465543 
448,0.01557251 
449,0.01611272 
450,0.01673764 
451,0.01634597 
452,0.01619451 
453,0.01567113 
454,0.01504095 
455,0.01439487 
456,0.01388118 
457,0.01285494 
458,0.01258051 
459,0.01156298 
460,0.01095529 
461,0.01044859 
462,0.01013081 
463,0.01013189 
464,0.00989439 
465,0.00975253 
466,0.00932751 
467,0.00907585 
468,0.00910228 
469,0.00866343 
470,0.00856032 
471,0.00827436 
472,0.00795003 
473,0.00775018 
474,0.00743485 
475,0.00745684 
476,0.00722269 
477,0.00717808 
478,0.00731597 
479,0.00728694 
480,0.00735910 
481,0.00748598 
482,0.00756545 
483,0.00769291 
484,0.00775532 
485,0.00803048 
486,0.00831038 
487,0.00841218 
488,0.00865157 
489,0.00892266 
490,0.00899779 
491,0.00935563 
492,0.00975686 
493,0.01006481 
494,0.01051802 
495,0.01071601 
496,0.01129244 
497,0.01162939 
498,0.01202379 
499,0.01245991 
500,0.01290184 
501,0.01326451 
502,0.01379847 
503,0.01409810 
504,0.01454279 
505,0.01483355 
506,0.01530464 
507,0.01554873 
508,0.01599406 
509,0.01632528 
510,0.01670374 
511,0.01684916 
512,0.01729126 
513,0.01756290 
514,0.01764539 
515,0.01794212 
516,0.01819813 
517,0.01843999 
518,0.01853666 
519,0.01895997 
520,0.01914613 
521,0.01934780 
522,0.01938502 
523,0.01962388 
524,0.01959545 
525,0.01945463 
526,0.01952127 
527,0.01946651 
528,0.01975062 
529,0.01983124 
530,0.02040201 
531,0.02008728 
532,0.02038048 
533,0.02045208 
534,0.02064302 
535,0.02093334 
536,0.02089895 
537,0.02099721 
538,0.02117884 
539,0.02122174 
540,0.02120083 
541,0.02146420 
542,0.02165491 
543,0.02174617 
544,0.02177633 
545,0.02194346 
546,0.02199223 
547,0.02192055 
548,0.02190213 
549,0.02202095 
550,0.02188848 
551,0.02189133 
552,0.02177990 
553,0.02179568 
554,0.02173252 
555,0.02159796 
556,0.02177626 
557,0.02165032 
558,0.02159132 
559,0.02145749 
560,0.02146148 
561,0.02149606 
562,0.02120653 
563,0.02122987 
564,0.02120303 
565,0.02133636 
566,0.02114780 
567,0.02117092 
568,0.02107327 
569,0.02092401 
570,0.02091767 
571,0.02068672 
572,0.02100860 
573,0.02074126 
574,0.02076140 
575,0.02072323 
576,0.02063339 
577,0.02063911 
578,0.02062472 
579,0.02059954 
580,0.02051512 
581,0.02031277 
582,0.02022045 
583,0.02009142 
584,0.02019971 
585,0.01972851 
586,0.01981585 
587,0.01989595 
588,0.01963109 
589,0.01954527 
590,0.01915369 
591,0.01919292 
592,0.01899030 
593,0.01897329 
594,0.01884506 
595,0.01855734 
596,0.01835759 
597,0.01811862 
598,0.01791780 
599,0.01759921 
600,0.01782701 
601,0.01720339 
602,0.01729282 
603,0.01686254 
604,0.01691043 
605,0.01641683 
606,0.01624293 
607,0.01595435 
608,0.01576081 
609,0.01544596 
610,0.01535733 
611,0.01495450 
612,0.01456579 
613,0.01420711 
614,0.01406942 
615,0.01409560 
616,0.01382710 
617,0.01359475 
618,0.01336124 
619,0.01311984 
620,0.01284518 
621,0.01278550 
622,0.01243224 
623,0.01220282 
624,0.01200935 
625,0.01170758 
626,0.01159043 
627,0.01130732 
628,0.01117300 
629,0.01089329 
630,0.01083654 
631,0.01064195 
632,0.01033380 
633,0.01005351 
634,0.00971564 
635,0.00959409 
636,0.00934989 
637,0.00930021 
638,0.00904615 
639,0.00886445 
640,0.00868671 
641,0.00840997 
642,0.00819822 
643,0.00808490 
644,0.00786128 
645,0.00754950 
646,0.00751676 
647,0.00741802 
648,0.00715255 
649,0.00685420 
650,0.00689469 
651,0.00672853 
652,0.00658934 
653,0.00642280 
654,0.00622017 
655,0.00599672 
656,0.00592041 
657,0.00571996 
658,0.00558378 
659,0.00545490 
660,0.00527877 
661,0.00536335 
662,0.00516100 
663,0.00485739 
664,0.00477144 
665,0.00461350 
666,0.00453566 
667,0.00444902 
668,0.00421581 
669,0.00411823 
670,0.00391572 
671,0.00394856 
672,0.00379302 
673,0.00360828 
674,0.00347965 
675,0.00338031 
676,0.00328461 
677,0.00321990 
678,0.00313049 
679,0.00299958 
680,0.00296014 
681,0.00283145 
682,0.00278068 
683,0.00262251 
684,0.00253802 
685,0.00247836 
686,0.00241924 
687,0.00223667 
688,0.00219011 
689,0.00216864 
690,0.00212484 
691,0.00204932 
692,0.00195989 
693,0.00190175 
694,0.00183183 
695,0.00189911 
696,0.00174803 
697,0.00169681 
698,0.00155566 
699,0.00157189 
700,0.00144677 
701,0.00144474 
702,0.00145727 
703,0.00137128 
704,0.00128257 
705,0.00127638 
706,0.00119875 
707,0.00118635 
708,0.00105901 
709,0.00113296 
710,0.00108213 
711,0.00106498 
712,0.00100079 
713,0.00103149 
714,0.00094323 
715,0.00093387 
716,0.00087137 
717,0.00086384 
718,0.00079143 
719,0.00074199 
720,0.00068620 
721,0.00070606 
722,0.00069524 
723,0.00061504 
724,0.00069916 
725,0.00069047 
726,0.00057931 
727,0.00059689 
728,0.00063427 
729,0.00058900 
730,0.00051444 
731,0.00053403 
732,0.00047286 
733,0.00048651 
734,0.00047853 
735,0.00045444 
736,0.00042962 
737,0.00046025 
738,0.00044850 
739,0.00044720 
740,0.00036885 
741,0.00045208 
742,0.00041124 
743,0.00032592 
744,0.00035488 
745,0.00035734 
746,0.00030512 
747,0.00028624 
748,0.00025266 
749,0.00032313 
750,0.00028451 
751,0.00028792 
752,0.00029526 
753,0.00023477 
754,0.00023928 
755,0.00024681 
756,0.00018188 
757,0.00028943 
758,0.00030520 
759,0.00027612 
760,0.00018940 
761,0.00021194 
762,0.00023274 
763,0.00021743 
764,0.00026414 
765,0.00019198 
766,0.00016790 
767,0.00018272 
768,0.00011063 
769,0.00018714 
770,0.00015031 
771,0.00016964 
772,0.00018812 
773,0.00016439 
774,0.00016226 
775,0.00019218 
776,0.00013945 
777,0.00016849 
778,0.00012251 
779,0.00015884 
780,0.00016350 
781,0.00009366 
782,0.00012615 
783,0.00004972 
784,0.00014483 
785,0.00014226 
786,0.00007669 
787,0.00010851 
788,0.00011597 
789,0.00004944 
790,0.00010396 
791,0.00023435 
792,0.00018936 
793,0.00010517 
794,0.00010736 
795,0.00016354 
796,0.00011485 
797,0.00006954 
798,0.00011514 
799,0.00005463 
800,0.00006003 
801,0.00013249 
802,0.00007081 
803,0.00008079 
804,0.00009048 
805,0.00004889 
806,0.00011507 
807,0.00010233 
808,0.00008003 
809,0.00005440 
810,0.00009993 
811,0.00009644 
812,0.00006078 
813,0.00001930 
814,0.00006325 
815,0.00009906 
816,0.00008424 
817,0.00003747 
818,0.00011870 
819,0.00004123 
820,0.00007045 
821,0.00009652 
822,0.00006578 
823,0.00004080 
824,0.00001618 
825,0.00009276 
826,0.00008266 
827,0.00002947 
828,0.00002431 
829,0.00010483 
830,0.00008996 
831,0.00005934 
832,0.00010168 
833,0.00006698 
834,0.00004894 
835,0.00006387 
836,0.00008531 
837,0.00008933 
838,0.00003856 
839,0.00001481 
840,0.00007664 
841,0.00010904 
842,0.00006904 
843,0.00009636 
844,0.00008925 
845,0.00005249 
846,0.00004573 
847,0.00007112 
848,0.00002392 
849,0.00011259 
850,0.00008836 
851,0.00003134 
852,0.00008485 
853,0.00005176 
854,0.00011557 
855,0.00006992 
856,0.00006938 
857,0.00011350 
858,0.00004682 
859,0.00011115 
860,0.00005622 
861,0.00009497 
862,0.00005345 
863,0.00006210 
864,0.00007479 
865,0.00007890 
866,0.00005981 
867,0.00007542 
868,0.00007543 
869,0.00002666 
870,0.00013448 
871,0.00012113 
872,0.00008136 
873,0.00008440 
874,0.00004118 
875,0.00006670 
876,0.00007920 
877,0.00005417 
878,0.00006297 
879,0.00007473 
880,0.00012332 
881,0.00011790 
882,0.00004102 
883,0.00004712 
884,0.00012646 
885,0.00007122 
886,0.00008838 
887,0.00009149 
888,0.00006256 
889,0.00009724 
890,0.00010277 
891,0.00005923 
892,0.00005337 
893,0.00007281 
894,0.00011049 
895,0.00012905 
896,0.00008062 
897,0.00006958 
898,0.00014729 
899,0.00003505 
900,0.00000000 
901,0.00000000 
902,0.00000000 
903,0.00000000 
904,0.00000000 
905,0.00000000 
906,0.00000000 
907,0.00000000 
908,0.00000000 
909,0.00000000 
910,0.00000000 
911,0.00000000 
912,0.00000000 
913,0.00000000 
914,0.00000000 
915,0.00000000 
916,0.00000000 
917,0.00000000 
918,0.00000000 
919,0.00000000 
920,0.00000000 
921,0.00000000 
922,0.00000000 
923,0.00000000 
924,0.00000000 
925,0.00000000 
926,0.00000000 
927,0.00000000 
928,0.00000000 
929,0.00000000 
930,0.00000000 
931,0.00000000 
932,0.00000000 
933,0.00000000 
934,0.00000000 
935,0.00000000 
936,0.00000000 
937,0.00000000 
938,0.00000000 
939,0.00000000 
940,0.00000000 
941,0.00000000 
942,0.00000000 
943,0.00000000 
944,0.00000000 
945,0.00000000 
946,0.00000000 
947,0.00000000 
948,0.00000000 
949,0.00000000 
950,0.00000000 
951,0.00000000 
952,0.00000000 
953,0.00000000 
954,0.00000000 
955,0.00000000 
956,0.00000000 
957,0.00000000 
958,0.00000000 
959,0.00000000 
960,0.00000000 
961,0.00000000 
962,0.00000000 
963,0.00000000 
964,0.00000000 
965,0.00000000 
966,0.00000000 
967,0.00000000 
968,0.00000000 
969,0.00000000 
970,0.00000000 
971,0.00000000 
972,0.00000000 
973,0.00000000 
974,0.00000000 
975,0.00000000 
976,0.00000000 
977,0.00000000 
978,0.00000000 
979,0.00000000 
980,0.00000000 
981,0.00000000 
982,0.00000000 
983,0.00000000 
984,0.00000000 
985,0.00000000 
986,0.00000000 
987,0.00000000 
988,0.00000000 
989,0.00000000 
990,0.00000000 
991,0.00000000 
992,0.00000000 
993,0.00000000 
994,0.00000000 
995,0.00000000 
996,0.00000000 
997,0.00000000 
998,0.00000000 
999,0.00000000 
1000,0.00000000 
1001,0.00000000 
1002,0.00000000 
1003,0.00000000 
1004,0.00000000 
1005,0.00000000 
1006,0.00000000 
1007,0.00000000 
1008,0.00000000 
1009,0.00000000 
1010,0.00000000 
1011,0.00000000 
1012,0.00000000 
1013,0.00000000 
1014,0.00000000 
1015,0.00000000 
1016,0.00000000 
1017,0.00000000 
1018,0.00000000 
1019,0.00000000 
1020,0.00000000 
1021,0.00000000 
1022,0.00000000 
1023,0.00000000 
1024,0.00000000 
1025,0.00000000 
1026,0.00000000 
1027,0.00000000 
1028,0.00000000 
1029,0.00000000 
1030,0.00000000 
1031,0.00000000 
1032,0.00000000 
1033,0.00000000 
1034,0.00000000 
1035,0.00000000 
1036,0.00000000 
1037,0.00000000 
1038,0.00000000 
1039,0.00000000 
1040,0.00000000 
1041,0.00000000 
1042,0.00000000 
1043,0.00000000 
1044,0.00000000 
1045,0.00000000 
1046,0.00000000 
1047,0.00000000 
1048,0.00000000 
1049,0.00000000 
1050,0.00000000 
1051,0.00000000 
1052,0.00000000 
1053,0.00000000 
1054,0.00000000 
1055,0.00000000 
1056,0.00000000 
1057,0.00000000 
1058,0.00000000 
1059,0.00000000 
1060,0.00000000 
1061,0.00000000 
1062,0.00000000 
1063,0.00000000 
1064,0.00000000 
1065,0.00000000 
1066,0.00000000 
1067,0.00000000 
1068,0.00000000 
1069,0.00000000 
1070,0.00000000 
1071,0.00000000 
1072,0.00000000 
1073,0.00000000 
1074,0.00000000 
1075,0.00000000 
1076,0.00000000 
1077,0.00000000 
1078,0.00000000 
1079,0.00000000 
1080,0.00000000 
1081,0.00000000 
1082,0.00000000 
1083,0.00000000 
1084,0.00000000 
1085,0.00000000 
1086,0.00000000 
1087,0.00000000 
1088,0.00000000 
1089,0.00000000 
1090,0.00000000 
1091,0.00000000 
1092,0.00000000 
1093,0.00000000 
1094,0.00000000 
1095,0.00000000 
1096,0.00000000 
1097,0.00000000 
1098,0.00000000 
1099,0.00000000 
1100,0.00000000 
1101,0.00000000 
1102,0.00000000 
1103,0.00000000 
1104,0.00000000 
1105,0.00000000 
1106,0.00000000 
1107,0.00000000 
1108,0.00000000 
1109,0.00000000 
1110,0.00000000 
1111,0.00000000 
1112,0.00000000 
1113,0.00000000 
1114,0.00000000 
1115,0.00000000 
1116,0.00000000 
1117,0.00000000 
1118,0.00000000 
1119,0.00000000 
1120,0.00000000 
1121,0.00000000 
1122,0.00000000 
1123,0.00000000 
1124,0.00000000 
1125,0.00000000 
1126,0.00000000 
1127,0.00000000 
1128,0.00000000 
1129,0.00000000 
1130,0.00000000 
1131,0.00000000 
1132,0.00000000 
1133,0.00000000 
1134,0.00000000 
1135,0.00000000 
1136,0.00000000 
1137,0.00000000 
1138,0.00000000 
1139,0.00000000 
1140,0.00000000 
1141,0.00000000 
1142,0.00000000 
1143,0.00000000 
1144,0.00000000 
1145,0.00000000 
1146,0.00000000 
1147,0.00000000 
1148,0.00000000 
1149,0.00000000 
1150,0.00000000 
1151,0.00000000 
1152,0.00000000 
1153,0.00000000 
1154,0.00000000 
1155,0.00000000 
1156,0.00000000 
1157,0.00000000 
1158,0.00000000 
1159,0.00000000 
1160,0.00000000 
1161,0.00000000 
1162,0.00000000 
1163,0.00000000 
1164,0.00000000 
1165,0.00000000 
1166,0.00000000 
1167,0.00000000 
1168,0.00000000 
1169,0.00000000 
1170,0.00000000 
1171,0.00000000 
1172,0.00000000 
1173,0.00000000 
1174,0.00000000 
1175,0.00000000 
1176,0.00000000 
1177,0.00000000 
1178,0.00000000 
1179,0.00000000 
1180,0.00000000 
1181,0.00000000 
1182,0.00000000 
1183,0.00000000 
1184,0.00000000 
1185,0.00000000 
1186,0.00000000 
1187,0.00000000 
1188,0.00000000 
1189,0.00000000 
1190,0.00000000 
1191,0.00000000 
1192,0.00000000 
1193,0.00000000 
1194,0.00000000 
1195,0.00000000 
1196,0.00000000 
1197,0.00000000 
1198,0.00000000 
1199,0.00000000 
1200,0.00000000 
1201,0.00000000 
1202,0.00000000 
1203,0.00000000 
1204,0.00000000 
1205,0.00000000 
1206,0.00000000 
1207,0.00000000 
1208,0.00000000 
1209,0.00000000 
1210,0.00000000 
1211,0.00000000 
1212,0.00000000 
1213,0.00000000 
1214,0.00000000 
1215,0.00000000 
1216,0.00000000 
1217,0.00000000 
1218,0.00000000 
1219,0.00000000 
1220,0.00000000 
1221,0.00000000 
1222,0.00000000 
1223,0.00000000 
1224,0.00000000 
1225,0.00000000 
1226,0.00000000 
1227,0.00000000 
1228,0.00000000 
1229,0.00000000 
1230,0.00000000 
1231,0.00000000 
1232,0.00000000 
1233,0.00000000 
1234,0.00000000 
1235,0.00000000 
1236,0.00000000 
1237,0.00000000 
1238,0.00000000 
1239,0.00000000 
1240,0.00000000 
1241,0.00000000 
1242,0.00000000 
1243,0.00000000 
1244,0.00000000 
1245,0.00000000 
1246,0.00000000 
1247,0.00000000 
1248,0.00000000 
1249,0.00000000 
1250,0.00000000 
1251,0.00000000 
